id,tournament,season,round,status,home_team,away_team,home_score,away_score
13981424,Serie A,25/26,1,Ended,Juventus,Parma,2,0
13981438,Serie A,25/26,1,Ended,Udinese,Hellas Verona,1,1
13981421,Serie A,25/26,1,Ended,Inter,Torino,5,0
13981444,Serie A,25/26,1,Ended,Atalanta,Pisa,1,1
13981423,Serie A,25/26,1,Ended,Como,Lazio,2,0
13981431,Serie A,25/26,1,Ended,Sassuolo,Napoli,0,2
13981428,Serie A,25/26,1,Ended,Roma,Bologna,1,0
13981439,Serie A,25/26,1,Ended,Milan,Cremonese,1,2
13981422,Serie A,25/26,1,Ended,Genoa,Lecce,0,0
13981425,Serie A,25/26,1,Ended,Cagliari,Fiorentina,1,1
13981448,Serie A,25/26,2,Ended,Genoa,Juventus,0,1
13981429,Serie A,25/26,2,Ended,Torino,Fiorentina,0,0
13981436,Serie A,25/26,2,Ended,Napoli,Cagliari,1,0
13981433,Serie A,25/26,2,Ended,Bologna,Como,1,0
13981447,Serie A,25/26,2,Ended,Lecce,Milan,0,2
13981443,Serie A,25/26,2,Ended,Cremonese,Sassuolo,3,2
13981432,Serie A,25/26,2,Ended,Inter,Udinese,1,2
13981441,Serie A,25/26,2,Ended,Pisa,Roma,0,1
13981426,Serie A,25/26,2,Ended,Parma,Atalanta,1,1
13981446,Serie A,25/26,2,Ended,Lazio,Hellas Verona,4,0
13981442,Serie A,25/26,3,Ended,Fiorentina,Napoli,1,3
13981435,Serie A,25/26,3,Ended,Juventus,Inter,4,3
13981437,Serie A,25/26,3,Ended,Milan,Bologna,1,0
13981434,Serie A,25/26,3,Ended,Roma,Torino,0,1
13981451,Serie A,25/26,3,Ended,Hellas Verona,Cremonese,0,0
13981430,Serie A,25/26,3,Ended,Como,Genoa,1,1
13981445,Serie A,25/26,3,Ended,Pisa,Udinese,0,1
13981427,Serie A,25/26,3,Ended,Cagliari,Parma,2,0
13981449,Serie A,25/26,3,Ended,Sassuolo,Lazio,1,0
13981450,Serie A,25/26,3,Ended,Atalanta,Lecce,4,1
13981454,Serie A,25/26,4,Ended,Torino,Atalanta,0,3
13981458,Serie A,25/26,4,Ended,Napoli,Pisa,3,2
13981455,Serie A,25/26,4,Ended,Lecce,Cagliari,1,2
13981452,Serie A,25/26,4,Ended,Hellas Verona,Juventus,1,1
13981453,Serie A,25/26,4,Ended,Udinese,Milan,0,3
13981457,Serie A,25/26,4,Ended,Lazio,Roma,0,1
13981456,Serie A,25/26,4,Ended,Inter,Sassuolo,2,1
13981461,Serie A,25/26,4,Ended,Fiorentina,Como,1,2
13981463,Serie A,25/26,4,Ended,Cremonese,Parma,0,0
13981460,Serie A,25/26,4,Ended,Bologna,Genoa,2,1
13981459,Serie A,25/26,5,Ended,Cagliari,Inter,0,2
13981465,Serie A,25/26,5,Ended,Juventus,Atalanta,1,1
13981462,Serie A,25/26,5,Ended,Como,Cremonese,1,1
13981472,Serie A,25/26,5,Ended,Milan,Napoli,2,1
13981468,Serie A,25/26,5,Ended,Lecce,Bologna,2,2
13981469,Serie A,25/26,5,Ended,Roma,Hellas Verona,2,0
13981467,Serie A,25/26,5,Ended,Pisa,Fiorentina,0,0
13981466,Serie A,25/26,5,Ended,Parma,Torino,2,1
13981464,Serie A,25/26,5,Ended,Genoa,Lazio,0,3
13981476,Serie A,25/26,5,Ended,Sassuolo,Udinese,3,1
13981483,Serie A,25/26,6,Ended,Atalanta,Como,1,1
13981475,Serie A,25/26,6,Ended,Inter,Cremonese,4,1
13981473,Serie A,25/26,6,Ended,Lazio,Torino,3,3
13981471,Serie A,25/26,6,Ended,Juventus,Milan,0,0
13981470,Serie A,25/26,6,Ended,Bologna,Pisa,4,0
13981477,Serie A,25/26,6,Ended,Udinese,Cagliari,1,1
13981478,Serie A,25/26,6,Ended,Fiorentina,Roma,1,2
13981480,Serie A,25/26,6,Ended,Parma,Lecce,0,1
13981481,Serie A,25/26,6,Ended,Hellas Verona,Sassuolo,0,1
13981474,Serie A,25/26,6,Ended,Napoli,Genoa,2,1
13981484,Serie A,25/26,7,Ended,Pisa,Hellas Verona,0,0
13981482,Serie A,25/26,7,Ended,Como,Juventus,2,0
13981490,Serie A,25/26,7,Ended,Lecce,Sassuolo,0,0
13981485,Serie A,25/26,7,Ended,Roma,Inter,0,1
13981479,Serie A,25/26,7,Ended,Torino,Napoli,1,0
13981494,Serie A,25/26,7,Ended,Genoa,Parma,0,0
13981487,Serie A,25/26,7,Ended,Atalanta,Lazio,0,0
13981495,Serie A,25/26,7,Ended,Cagliari,Bologna,0,2
13981491,Serie A,25/26,7,Ended,Cremonese,Udinese,1,1
13981486,Serie A,25/26,7,Ended,Milan,Fiorentina,2,1
13981493,Serie A,25/26,8,Ended,Udinese,Lecce,3,2
13981499,Serie A,25/26,8,Ended,Milan,Pisa,2,2
13981498,Serie A,25/26,8,Ended,Napoli,Inter,3,1
13981488,Serie A,25/26,8,Ended,Cremonese,Atalanta,1,1
13981492,Serie A,25/26,8,Ended,Torino,Genoa,2,1
13981489,Serie A,25/26,8,Ended,Hellas Verona,Cagliari,2,2
13981496,Serie A,25/26,8,Ended,Sassuolo,Roma,0,1
13981502,Serie A,25/26,8,Ended,Fiorentina,Bologna,2,2
13981497,Serie A,25/26,8,Ended,Parma,Como,0,0
13981500,Serie A,25/26,8,Ended,Lazio,Juventus,1,0
13981504,Serie A,25/26,9,Ended,Bologna,Torino,0,0
13981505,Serie A,25/26,9,Ended,Genoa,Cremonese,0,2
