match,team,player,shirt_number,position,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,totalCross,duelWon,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,aerialWon,duelLost,shotOffTarget,blockedScoringAttempt,totalClearance,fouls,keyPass,aerialLost,totalContest,goals,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,wonContest,hitWoodwork,challengeLost,dispossessed,bigChanceCreated,bigChanceMissed,totalOffside,punches,outfielderBlock,clearanceOffLine,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,lastManTackle,ownGoals,crossNotClaimed,penaltyFaced,penaltyConceded,penaltyWon,penaltyMiss,penaltySave
13981431,Sassuolo,Stefano Turati,13,G,True,22,6,17,1,0,5,6,1,16,7,1,1,2,90,31,6,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Sebastian Walukiewicz,6,D,True,47,44,1,1,0,26,28,18,19,2,0,0,0,90,57,6,7,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Filippo Romagna,19,D,True,56,52,5,2,0,40,40,12,16,2,0,0,0,90,61,6,4,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Tarik Muharemović,80,D,True,52,45,4,0,0,29,31,16,21,5,0,0,0,90,69,6,8,0,0,1,0,0,0,0,0,0,5,1,3,2,2,0,0,0,1,3,0,0,5,2,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Josh Doig,3,D,True,16,15,0,0,0,4,4,11,12,4,0,0,0,81,34,6,4,0,0,1,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,3,0,0,3,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Ismael Koné,90,M,True,29,25,1,1,0,10,13,15,16,2,0,0,0,79,40,6,7,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,5,0,0,0,3,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Luca Lipani,35,M,True,39,31,3,2,0,16,20,15,19,2,0,0,0,73,47,6,9,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,9,0,0,1,5,1,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Daniel Boloca,11,M,True,41,39,2,2,0,15,16,24,25,8,0,0,0,90,54,6,4,0,0,2,0,0,0,0,0,1,4,0,1,2,2,0,0,0,0,4,2,0,1,0,1,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Domenico Berardi,10,F,True,24,17,4,1,0,8,8,9,16,3,0,0,0,89,47,6,13,0,0,1,0,0,0,0,0,1,7,0,1,3,3,0,0,0,0,5,1,0,1,2,0,0,3,0,0,3,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13981431,Sassuolo,Andrea Pinamonti,99,F,True,13,9,0,0,0,2,3,7,10,1,0,0,0,89,22,6,6,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,7,1,0,0,0,2,6,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
