match,team,home_away,ballPossession,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,bigChanceMissed,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,goalsPrevented,diveSaves,highClaims,punches,goalKicks,errorsLeadToGoal,accurateThroughBall,redCards,penaltySaves
13981431,Sassuolo,Home,38,0,0,7,2,1,17,368,16,17,3,2,0,4,1,3,4,0,0,9,1,0,311,10,44,54,12,0,45,7,39,6,8,13,12,45,14,2,0,0,1,2,5,0,0,1,0
13981431,Napoli,Away,62,1,2,13,2,2,17,606,14,17,1,4,2,4,5,7,6,1,1,12,4,0,545,18,41,84,17,2,55,7,37,17,8,9,5,45,10,0,0,1,1,0,7,0,2,0,0
13981422,Genoa,Home,59,0,0,5,0,3,16,435,23,13,2,2,0,2,1,2,3,0,0,6,1,0,327,19,42,40,16,0,55,8,44,16,9,15,6,49,24,0,0,0,1,0,8,0,0,0,0
13981422,Lecce,Away,41,0,1,7,2,7,13,294,15,16,3,0,0,3,4,5,2,0,1,16,2,2,207,28,51,66,21,3,45,12,30,19,2,8,12,41,18,0,0,2,1,1,6,0,1,0,0
13981439,Milan,Home,64,1,2,24,1,9,10,608,8,14,1,6,2,9,9,16,8,1,1,49,0,1,551,28,68,149,25,9,54,4,34,13,12,5,4,42,20,1,0,1,1,0,2,0,0,0,0
13981439,Cremonese,Away,36,0,1,4,4,2,14,340,17,10,4,3,0,1,0,4,0,1,0,5,1,1,278,14,29,31,18,4,46,4,30,10,5,13,6,37,37,1,0,1,2,1,13,0,0,0,0
13981428,Roma,Home,51,1,2,14,2,2,15,414,13,13,1,4,1,9,1,8,6,1,1,24,3,1,338,16,42,66,26,3,47,7,31,12,5,7,9,59,17,0,0,0,1,0,7,0,0,0,0
13981428,Bologna,Away,49,0,0,10,3,4,13,388,14,15,1,2,1,7,1,6,4,0,0,10,1,1,301,23,43,33,36,4,53,8,34,14,5,9,5,54,16,2,0,2,0,0,7,1,0,0,0
13981425,Cagliari,Home,45,1,2,14,0,3,18,356,12,14,4,6,0,7,1,10,4,1,1,25,3,1,293,18,40,66,26,5,42,10,31,8,5,7,3,40,27,0,0,0,0,0,7,0,0,0,0
13981425,Fiorentina,Away,55,0,2,4,4,2,14,439,18,18,2,1,0,2,1,2,2,1,1,10,3,4,365,15,52,51,15,4,58,6,42,12,7,12,6,41,16,0,0,1,0,0,12,1,0,0,0
13981438,Udinese,Home,63,0,1,14,2,5,10,478,13,14,3,4,2,6,4,8,6,1,0,18,1,2,416,19,61,85,33,4,51,14,36,23,10,9,3,38,35,0,0,1,0,1,4,0,1,0,0
13981438,Hellas Verona,Away,37,0,1,9,4,1,14,286,22,10,2,3,1,4,2,2,7,1,0,5,1,2,210,20,51,44,24,1,49,7,41,15,9,12,10,39,26,0,0,0,1,2,9,0,0,0,0
13981444,Atalanta,Home,66,1,3,21,2,10,9,552,12,10,2,6,1,12,3,14,7,0,3,44,1,0,477,22,64,121,33,10,48,9,40,17,18,8,5,43,23,0,0,0,1,0,9,0,1,0,0
13981444,Pisa,Away,34,0,1,11,5,4,10,289,17,9,0,2,0,6,3,7,4,0,1,13,5,2,218,13,47,44,37,6,52,8,28,34,4,9,8,49,32,1,1,2,1,0,13,0,1,0,0
13981423,Como,Home,63,1,2,19,1,6,15,537,25,12,2,6,1,12,1,12,7,1,1,32,4,0,484,24,41,96,21,4,54,10,51,8,14,18,10,35,8,0,0,0,1,0,6,0,1,0,0
13981423,Lazio,Away,37,0,0,5,4,0,12,309,24,15,3,1,0,3,1,3,2,0,0,14,1,1,260,26,30,38,20,3,46,15,44,6,5,12,11,34,19,1,0,2,1,0,11,0,0,0,0
13981424,Juventus,Home,64,2,4,25,1,6,9,512,15,13,1,8,1,12,5,14,11,2,2,35,1,0,457,15,48,172,13,7,62,3,36,25,11,9,12,50,19,0,0,1,3,0,4,0,1,1,0
13981424,Parma,Away,36,0,1,8,6,6,13,275,12,9,2,2,0,4,2,4,4,0,1,10,2,0,207,17,42,38,23,4,38,10,24,14,3,7,6,39,18,0,0,1,1,0,15,0,0,0,0
13981421,Inter,Home,60,1,6,20,4,6,14,577,14,6,0,9,0,8,3,14,6,4,2,37,1,4,530,12,41,83,36,7,51,5,25,14,5,8,6,46,16,2,1,0,1,0,5,0,0,0,0
13981421,Torino,Away,40,0,1,12,4,5,6,379,10,14,0,4,0,3,5,8,4,0,1,16,0,1,328,12,31,52,20,5,49,11,32,6,8,4,3,33,10,1,-2,3,1,0,7,3,0,0,0
13981446,Lazio,Home,70,4,6,22,4,8,8,702,9,19,0,6,0,8,8,14,8,4,2,31,7,1,643,17,97,127,37,4,58,11,39,13,11,6,14,49,5,4,0,1,1,0,3,0,3,0,0
13981446,Hellas Verona,Away,30,0,0,12,2,1,19,300,20,8,0,4,1,5,3,8,4,0,0,20,0,1,236,12,34,33,23,2,42,1,33,4,6,12,9,41,24,0,0,0,1,0,8,2,1,0,0
13981433,Bologna,Home,36,1,1,15,2,7,13,242,16,19,4,2,0,6,7,10,5,0,1,17,2,3,169,28,42,28,21,5,52,8,41,12,7,11,9,44,26,0,0,0,0,0,5,0,0,0,0
13981433,Como,Away,64,0,0,13,1,4,19,459,16,13,4,2,0,5,6,8,5,0,0,30,0,0,379,21,49,54,18,4,48,11,35,13,6,10,7,42,25,0,0,0,1,0,5,0,0,0,0
13981432,Inter,Home,68,1,3,16,3,13,17,497,12,5,1,4,0,10,2,13,3,1,2,41,0,2,426,25,64,106,36,8,51,4,27,21,11,6,5,36,16,1,0,0,0,0,8,0,0,0,0
13981432,Udinese,Away,32,1,1,10,2,2,5,245,8,16,3,5,0,4,1,4,6,1,0,13,3,0,179,21,39,46,21,1,49,8,25,22,5,3,4,30,45,0,0,0,0,0,11,0,0,0,0
13981429,Torino,Home,45,1,2,7,3,7,21,292,7,13,2,4,0,2,1,6,1,0,2,22,2,2,225,18,38,54,24,5,47,8,24,19,4,5,6,31,21,0,0,2,0,0,14,0,0,0,0
13981429,Fiorentina,Away,55,1,1,16,4,3,13,369,11,21,2,4,0,8,4,8,8,0,1,20,2,1,307,13,36,46,17,4,53,4,30,18,3,5,10,32,23,0,1,0,0,1,4,0,1,0,0
13981426,Parma,Home,46,0,1,7,2,1,8,345,10,15,2,3,0,3,1,3,4,1,0,19,3,1,269,17,74,68,23,3,41,12,27,14,6,6,8,49,16,1,0,0,0,0,5,0,0,0,0
13981426,Atalanta,Away,54,0,1,11,2,2,15,420,23,8,2,3,1,4,4,8,3,0,1,25,0,4,334,17,47,64,31,2,59,4,37,22,8,14,7,47,49,0,0,1,0,0,6,0,0,0,0
13981441,Pisa,Home,31,0,2,7,4,1,14,266,22,10,2,3,0,4,0,2,5,0,2,8,1,2,176,19,39,42,18,2,45,7,36,17,5,12,11,49,37,0,0,1,1,0,9,0,0,0,0
13981441,Roma,Away,69,0,1,10,3,7,10,581,16,14,1,5,0,2,3,6,4,0,1,35,5,1,485,26,80,147,30,5,55,13,44,22,15,7,7,57,23,0,0,0,0,0,6,0,0,0,0
13981447,Lecce,Home,45,0,0,7,4,4,10,388,16,8,1,2,1,2,3,5,2,0,0,19,1,1,331,13,49,79,31,4,49,7,27,13,3,9,1,39,18,0,0,1,0,0,9,1,0,0,0
13981447,Milan,Away,55,1,4,14,2,5,8,482,18,10,0,6,0,5,3,11,3,1,3,35,4,4,416,17,40,89,23,7,51,5,33,9,5,11,9,41,17,0,0,1,3,0,4,0,2,0,0
13981436,Napoli,Home,67,1,2,20,1,13,16,615,4,12,2,6,1,8,6,15,5,0,2,37,5,3,554,23,61,133,16,7,40,13,22,10,6,3,7,36,6,1,0,0,0,0,9,0,1,0,0
13981436,Cagliari,Away,33,0,1,10,5,0,12,310,16,16,1,1,0,8,1,3,7,0,1,9,1,1,252,5,24,26,16,3,60,3,33,15,2,8,4,39,42,2,0,3,6,0,11,0,0,0,0
13981448,Genoa,Home,44,0,0,10,2,3,14,350,21,15,1,1,1,6,3,6,4,0,0,14,2,0,264,23,45,45,12,3,50,15,43,17,7,12,6,41,20,0,0,1,0,0,7,0,0,0,0
13981448,Juventus,Away,56,1,2,13,1,4,15,449,26,14,2,3,0,4,6,8,5,1,1,20,0,2,358,31,28,63,21,5,50,12,44,15,5,13,6,43,21,1,0,1,1,1,8,0,0,0,0
13981443,Cremonese,Home,42,3,6,11,4,5,12,359,19,16,2,6,0,2,3,8,3,3,3,17,4,0,271,30,39,55,21,2,57,8,40,15,6,12,5,36,17,0,0,2,0,0,6,0,0,0,0
13981443,Sassuolo,Away,58,1,2,9,3,4,17,507,11,11,2,6,1,2,1,6,3,2,0,22,2,2,428,14,57,78,28,4,43,9,27,15,5,8,3,46,27,0,0,0,0,0,3,1,0,0,0
13981435,Juventus,Home,41,0,1,12,1,5,14,357,17,10,2,4,0,3,5,5,7,1,0,15,1,1,296,14,38,56,14,3,48,5,31,9,4,10,6,33,38,1,-1,0,1,0,8,0,1,0,0
13981435,Inter,Away,59,0,1,18,0,9,10,503,9,14,2,4,0,8,6,8,10,1,0,33,1,1,452,21,56,158,20,10,52,10,25,19,2,4,6,32,19,0,-2,0,0,0,3,0,0,0,0
13981442,Fiorentina,Home,53,1,2,19,5,8,14,456,13,14,0,3,0,8,8,14,5,0,2,32,1,0,373,14,45,69,18,7,50,8,35,17,9,7,6,49,15,0,0,1,1,0,6,0,1,0,0
