match,team,player,shirt_number,position,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,totalCross,duelWon,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,aerialWon,duelLost,shotOffTarget,blockedScoringAttempt,totalClearance,fouls,keyPass,aerialLost,totalContest,goals,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,wonContest,hitWoodwork,challengeLost,dispossessed,bigChanceCreated,bigChanceMissed,totalOffside,punches,outfielderBlock,clearanceOffLine,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,lastManTackle,ownGoals,crossNotClaimed,penaltyFaced,penaltyConceded,penaltyWon,penaltyMiss,penaltySave
13981431,Sassuolo,Stefano Turati,13,G,True,22.0,6.0,17.0,1.0,0.0,5.0,6.0,1.0,16.0,7.0,1.0,1.0,2.0,90.0,31.0,6.3,16.0,9.115e-05,0.5169,0,-0.7588,-0.02,-0.04,-0.27,0.3,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Sebastian Walukiewicz,6,D,True,47.0,44.0,1.0,1.0,0.0,26.0,28.0,18.0,19.0,2.0,,,,90.0,57.0,6.2,7.0,0.00867341,,0,,0.09,0.03,-0.36,,1.0,2.0,,1.0,1.0,1.0,,,,,3.0,,,,2.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Filippo Romagna,19,D,True,56.0,52.0,5.0,2.0,0.0,40.0,40.0,12.0,16.0,2.0,,,,90.0,61.0,6.0,4.0,0.00559708,,0,,0.02,0.04,-0.5,,,2.0,,2.0,1.0,1.0,,,,1.0,4.0,,,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Tarik Muharemović,80,D,True,52.0,45.0,4.0,,0.0,29.0,31.0,16.0,21.0,5.0,,,,90.0,69.0,6.5,8.0,0.00678629,,1,,0.06,0.14,-0.19,,,5.0,1.0,3.0,2.0,2.0,0.0169,0.0088,-0.03,1.0,3.0,,,5.0,2.0,,2.0,,,1.0,1.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Josh Doig,3,D,True,16.0,15.0,,,0.0,4.0,4.0,11.0,12.0,4.0,,,,81.0,34.0,6.6,4.0,0.00659238,,1,,-0.02,0.09,-0.04,,,3.0,1.0,1.0,1.0,1.0,0.0237,0.0338,-0.02,,3.0,,,3.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Ismael Koné,90,M,True,29.0,25.0,1.0,1.0,0.0,10.0,13.0,15.0,16.0,2.0,,,,79.0,40.0,6.0,7.0,0.0105531,,0,,0.03,0.05,-0.07,,,3.0,,1.0,1.0,,,,,,5.0,,,,3.0,,1.0,1.0,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Luca Lipani,35,M,True,39.0,31.0,3.0,2.0,0.0,16.0,20.0,15.0,19.0,2.0,,,,73.0,47.0,6.3,9.0,0.0170472,,0,,0.1,0.05,-0.15,,,3.0,,1.0,2.0,1.0,,,,,9.0,,,1.0,5.0,1.0,1.0,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Daniel Boloca,11,M,True,41.0,39.0,2.0,2.0,0.0,15.0,16.0,24.0,25.0,8.0,,,,90.0,54.0,6.6,4.0,0.0134621,,2,,-0.17,0.32,-0.07,,1.0,4.0,,1.0,2.0,2.0,0.245,,-0.51,,4.0,2.0,,1.0,,1.0,2.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Domenico Berardi,10,F,True,24.0,17.0,4.0,1.0,0.0,8.0,8.0,9.0,16.0,3.0,,,,89.0,47.0,6.8,13.0,0.00660436,,1,,0.03,0.04,-0.05,,1.0,7.0,,1.0,3.0,3.0,0.0169,,-0.02,,5.0,1.0,,1.0,2.0,,,3.0,,,3.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Andrea Pinamonti,99,F,True,13.0,9.0,,,0.0,2.0,3.0,7.0,10.0,1.0,,,,89.0,22.0,6.3,6.0,0.00581086,,1,,-0.15,0.06,-0.13,,,5.0,,,,,0.0394,,-0.14,2.0,7.0,1.0,,,,2.0,6.0,,,1.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Armand Laurienté,45,F,True,22.0,21.0,1.0,1.0,0.0,5.0,5.0,16.0,17.0,7.0,,,,81.0,37.0,6.7,7.0,0.0118092,,0,,0.01,0.16,0.18,,,4.0,,,2.0,1.0,,,,,7.0,,,,1.0,,1.0,4.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Alieu Fadera,20,F,False,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,,,,17.0,10.0,7.1,2.0,0.215869,,1,,0.34,0.26,0.14,,,4.0,,,,,0.0402,,-0.14,,4.0,,1.0,,1.0,,2.0,2.0,,,1.0,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Sassuolo,Fali Candé,5,D,False,2.0,2.0,,,0.0,,,2.0,2.0,,,,,9.0,3.0,6.7,,0.00319434,,0,,0.0,,0.0,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
