match,team,player,type,situation,time_seconds,start_coord_x,start_coord_y,start_coord_z,goal_coord_x,goal_coord_y,goal_coord_z,block_coord_x,block_coord_y,block_coord_z
13981431,Sassuolo,Daniel Boloca,miss,fast-break,5614,15.3,46.2,0,0,42.5,93.1,,,
13981431,Napoli,Frank Anguissa,miss,assisted,5478,15.1,54.8,0,0,42.0,62.5,,,
13981431,Sassuolo,Andrea Pinamonti,miss,fast-break,5250,25.8,49.3,0,0,35.6,87.5,,,
13981431,Sassuolo,Alieu Fadera,block,fast-break,4999,7.0,31.2,0,0,52.3,19.0,5.9,33.7,0.0
13981431,Sassuolo,Daniel Boloca,miss,assisted,4283,23.1,33.1,0,0,30.4,40.3,,,
13981431,Sassuolo,Tarik Muharemović,save,assisted,3879,26.8,35.4,0,0,50.4,13.9,2.4,48.9,0.0
13981431,Napoli,Matteo Politano,block,assisted,3822,25.4,60.0,0,0,53.0,19.0,22.8,58.7,0.0
13981431,Napoli,Lorenzo Lucca,block,assisted,3555,19.8,62.3,0,0,47.0,19.0,16.7,60.8,0.0
13981431,Napoli,Kevin De Bruyne,goal,free-kick,3388,18.4,4.1,0,0,46.1,21.5,,,
13981431,Napoli,Lorenzo Lucca,save,regular,3273,3.5,47.7,0,0,46.6,3.2,0.7,49.3,0.0
13981431,Napoli,Matteo Politano,block,assisted,3271,13.6,50.8,0,0,49.7,19.0,11.4,50.7,0.0
13981431,Sassuolo,Domenico Berardi,miss,regular,3139,9.6,27.7,0,0,42.4,22.2,,,
13981431,Napoli,Kevin De Bruyne,block,free-kick,2981,25.7,42.9,0,0,47.9,19.0,16.4,46.2,0.0
13981431,Napoli,Scott McTominay,post,regular,2747,21.5,44.0,0,0,47.7,38.6,,,
13981431,Sassuolo,Josh Doig,save,fast-break,2542,13.6,19.5,0,0,47.7,3.8,1.5,47.1,0.0
13981431,Napoli,Scott McTominay,save,regular,1286,26.4,45.7,0,0,48.5,2.5,2.7,49.8,0.0
13981431,Napoli,Scott McTominay,goal,assisted,970,8.4,55.5,0,0,46.4,23.4,,,
13981431,Napoli,Matteo Politano,block,assisted,858,15.9,70.6,0,0,50.6,19.0,13.4,67.3,0.0
