match,team,home_away,ballPossession,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,bigChanceMissed,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,goalsPrevented,diveSaves,highClaims,punches,goalKicks,errorsLeadToGoal,accurateThroughBall,redCards,penaltySaves
13981431,Sassuolo,Home,38,0.38,0.0,7,2,1,17,368,16,17,3.0,2,0,4,1,3,4,0.0,0.0,9,1.0,,311,10,44,54,12,0,45,7,39,6,8,13,12,45,14,2.0,-0.7588,0.0,1.0,2.0,5,,0.0,1.0,
13981431,Napoli,Away,62,1.19,2.0,13,2,2,17,606,14,17,1.0,4,2,4,5,7,6,1.0,1.0,12,4.0,,545,18,41,84,17,2,55,7,37,17,8,9,5,45,10,0.0,0.0426,1.0,1.0,0.0,7,,2.0,0.0,
13981422,Genoa,Home,59,0.5,0.0,5,0,3,16,435,23,13,2.0,2,0,2,1,2,3,,0.0,6,1.0,0.0,327,19,42,40,16,0,55,8,44,16,9,15,6,49,24,,0.0,0.0,1.0,0.0,8,,0.0,,
13981422,Lecce,Away,41,0.37,1.0,7,2,7,13,294,15,16,3.0,0,0,3,4,5,2,,1.0,16,2.0,2.0,207,28,51,66,21,3,45,12,30,19,2,8,12,41,18,,0.7043,2.0,1.0,1.0,6,,1.0,,
13981439,Milan,Home,64,1.92,2.0,24,1,9,10,608,8,14,1.0,6,2,9,9,16,8,1.0,1.0,49,0.0,1.0,551,28,68,149,25,9,54,4,34,13,12,5,4,42,20,1.0,-0.7828,1.0,1.0,0.0,2,,,,
13981439,Cremonese,Away,36,0.21,1.0,4,4,2,14,340,17,10,4.0,3,0,1,0,4,0,1.0,0.0,5,1.0,1.0,278,14,29,31,18,4,46,4,30,10,5,13,6,37,37,1.0,0.5063,1.0,2.0,1.0,13,,,,
13981428,Roma,Home,51,1.56,2.0,14,2,2,15,414,13,13,1.0,4,1,9,1,8,6,1.0,1.0,24,3.0,1.0,338,16,42,66,26,3,47,7,31,12,5,7,9,59,17,0.0,0.6282,0.0,1.0,,7,0.0,,,
13981428,Bologna,Away,49,0.58,0.0,10,3,4,13,388,14,15,1.0,2,1,7,1,6,4,0.0,0.0,10,1.0,1.0,301,23,43,33,36,4,53,8,34,14,5,9,5,54,16,2.0,0.1939,2.0,0.0,,7,1.0,,,
13981425,Cagliari,Home,45,1.13,2.0,14,0,3,18,356,12,14,4.0,6,0,7,1,10,4,1.0,1.0,25,3.0,1.0,293,18,40,66,26,5,42,10,31,8,5,7,3,40,27,,-0.2157,0.0,,,7,0.0,,,
13981425,Fiorentina,Away,55,0.98,2.0,4,4,2,14,439,18,18,2.0,1,0,2,1,2,2,1.0,1.0,10,3.0,4.0,365,15,52,51,15,4,58,6,42,12,7,12,6,41,16,,0.0172,1.0,,,12,1.0,,,
13981438,Udinese,Home,63,0.73,1.0,14,2,5,10,478,13,14,3.0,4,2,6,4,8,6,1.0,,18,1.0,2.0,416,19,61,85,33,4,51,14,36,23,10,9,3,38,35,,-0.0405,1.0,0.0,1.0,4,,1.0,,
13981438,Hellas Verona,Away,37,0.56,1.0,9,4,1,14,286,22,10,2.0,3,1,4,2,2,7,1.0,,5,1.0,2.0,210,20,51,44,24,1,49,7,41,15,9,12,10,39,26,,-0.2415,0.0,1.0,2.0,9,,0.0,,
13981444,Atalanta,Home,66,1.92,3.0,21,2,10,9,552,12,10,2.0,6,1,12,3,14,7,,3.0,44,1.0,0.0,477,22,64,121,33,10,48,9,40,17,18,8,5,43,23,0.0,-0.33,0.0,1.0,,9,,1.0,,
13981444,Pisa,Away,34,0.63,1.0,11,5,4,10,289,17,9,0.0,2,0,6,3,7,4,,1.0,13,5.0,2.0,218,13,47,44,37,6,52,8,28,34,4,9,8,49,32,1.0,1.0373,2.0,1.0,,13,,1.0,,
13981423,Como,Home,63,1.32,2.0,19,1,6,15,537,25,12,2.0,6,1,12,1,12,7,1.0,1.0,32,4.0,0.0,484,24,41,96,21,4,54,10,51,8,14,18,10,35,8,0.0,0.2904,0.0,1.0,,6,,1.0,,
13981423,Lazio,Away,37,0.25,0.0,5,4,0,12,309,24,15,3.0,1,0,3,1,3,2,0.0,0.0,14,1.0,1.0,260,26,30,38,20,3,46,15,44,6,5,12,11,34,19,1.0,-0.1232,2.0,1.0,,11,,0.0,,
13981424,Juventus,Home,64,2.35,4.0,25,1,6,9,512,15,13,1.0,8,1,12,5,14,11,2.0,2.0,35,1.0,,457,15,48,172,13,7,62,3,36,25,11,9,12,50,19,,0.0513,1.0,3.0,,4,,1.0,1.0,
13981424,Parma,Away,36,0.62,1.0,8,6,6,13,275,12,9,2.0,2,0,4,2,4,4,0.0,1.0,10,2.0,,207,17,42,38,23,4,38,10,24,14,3,7,6,39,18,,0.1809,1.0,1.0,,15,,0.0,0.0,
13981421,Inter,Home,60,1.59,6.0,20,4,6,14,577,14,6,,9,0,8,3,14,6,4.0,2.0,37,1.0,4.0,530,12,41,83,36,7,51,5,25,14,5,8,6,46,16,2.0,1.1555,0.0,1.0,,5,0.0,,,
13981421,Torino,Away,40,0.94,1.0,12,4,5,6,379,10,14,,4,0,3,5,8,4,0.0,1.0,16,0.0,1.0,328,12,31,52,20,5,49,11,32,6,8,4,3,33,10,1.0,-2.3398,3.0,1.0,,7,3.0,,,
13981446,Lazio,Home,70,4.13,6.0,22,4,8,8,702,9,19,,6,0,8,8,14,8,4.0,2.0,31,7.0,1.0,643,17,97,127,37,4,58,11,39,13,11,6,14,49,5,4.0,0.7978,1.0,1.0,,3,0.0,3.0,,
13981446,Hellas Verona,Away,30,0.92,0.0,12,2,1,19,300,20,8,,4,1,5,3,8,4,0.0,0.0,20,0.0,1.0,236,12,34,33,23,2,42,1,33,4,6,12,9,41,24,0.0,-0.3657,0.0,1.0,,8,2.0,1.0,,
13981433,Bologna,Home,36,1.1,1.0,15,2,7,13,242,16,19,4.0,2,0,6,7,10,5,,1.0,17,2.0,3.0,169,28,42,28,21,5,52,8,41,12,7,11,9,44,26,,0.0221,,0.0,,5,,,,
13981433,Como,Away,64,0.69,0.0,13,1,4,19,459,16,13,4.0,2,0,5,6,8,5,,0.0,30,0.0,0.0,379,21,49,54,18,4,48,11,35,13,6,10,7,42,25,,-0.2371,,1.0,,5,,,,
13981432,Inter,Home,68,1.97,3.0,16,3,13,17,497,12,5,1.0,4,0,10,2,13,3,1.0,2.0,41,0.0,2.0,426,25,64,106,36,8,51,4,27,21,11,6,5,36,16,1.0,0.0727,,,,8,,,,
13981432,Udinese,Away,32,1.21,1.0,10,2,2,5,245,8,16,3.0,5,0,4,1,4,6,1.0,0.0,13,3.0,0.0,179,21,39,46,21,1,49,8,25,22,5,3,4,30,45,0.0,0.4377,,,,11,,,,
13981429,Torino,Home,45,1.02,2.0,7,3,7,21,292,7,13,2.0,4,0,2,1,6,1,,2.0,22,2.0,2.0,225,18,38,54,24,5,47,8,24,19,4,5,6,31,21,,0.3837,2.0,,0.0,14,,0.0,,
13981429,Fiorentina,Away,55,1.74,1.0,16,4,3,13,369,11,21,2.0,4,0,8,4,8,8,,1.0,20,2.0,1.0,307,13,36,46,17,4,53,4,30,18,3,5,10,32,23,,1.3498,0.0,,1.0,4,,1.0,,
13981426,Parma,Home,46,0.68,1.0,7,2,1,8,345,10,15,2.0,3,0,3,1,3,4,1.0,0.0,19,3.0,1.0,269,17,74,68,23,3,41,12,27,14,6,6,8,49,16,1.0,-0.4472,0.0,,,5,,,,
13981426,Atalanta,Away,54,0.81,1.0,11,2,2,15,420,23,8,2.0,3,1,4,4,8,3,0.0,1.0,25,0.0,4.0,334,17,47,64,31,2,59,4,37,22,8,14,7,47,49,0.0,0.2263,1.0,,,6,,,,
13981441,Pisa,Home,31,0.56,2.0,7,4,1,14,266,22,10,2.0,3,0,4,0,2,5,,2.0,8,1.0,2.0,176,19,39,42,18,2,45,7,36,17,5,12,11,49,37,,-0.1929,1.0,1.0,,9,,,,
13981441,Roma,Away,69,0.78,1.0,10,3,7,10,581,16,14,1.0,5,0,2,3,6,4,,1.0,35,5.0,1.0,485,26,80,147,30,5,55,13,44,22,15,7,7,57,23,,0.4018,0.0,0.0,,6,,,,
13981447,Lecce,Home,45,0.3,0.0,7,4,4,10,388,16,8,1.0,2,1,2,3,5,2,0.0,0.0,19,1.0,1.0,331,13,49,79,31,4,49,7,27,13,3,9,1,39,18,,0.664,1.0,0.0,,9,1.0,0.0,,
13981447,Milan,Away,55,1.85,4.0,14,2,5,8,482,18,10,0.0,6,0,5,3,11,3,1.0,3.0,35,4.0,4.0,416,17,40,89,23,7,51,5,33,9,5,11,9,41,17,,0.5954,1.0,3.0,,4,0.0,2.0,,
13981436,Napoli,Home,67,1.58,2.0,20,1,13,16,615,4,12,2.0,6,1,8,6,15,5,,2.0,37,5.0,3.0,554,23,61,133,16,7,40,13,22,10,6,3,7,36,6,1.0,0.0126,0.0,0.0,,9,,1.0,,
13981436,Cagliari,Away,33,0.53,1.0,10,5,0,12,310,16,16,1.0,1,0,8,1,3,7,,1.0,9,1.0,1.0,252,5,24,26,16,3,60,3,33,15,2,8,4,39,42,2.0,-0.1523,3.0,6.0,,11,,0.0,,
13981448,Genoa,Home,44,0.55,0.0,10,2,3,14,350,21,15,1.0,1,1,6,3,6,4,0.0,0.0,14,2.0,0.0,264,23,45,45,12,3,50,15,43,17,7,12,6,41,20,0.0,0.3497,1.0,0.0,0.0,7,,,,
13981448,Juventus,Away,56,1.03,2.0,13,1,4,15,449,26,14,2.0,3,0,4,6,8,5,1.0,1.0,20,0.0,2.0,358,31,28,63,21,5,50,12,44,15,5,13,6,43,21,1.0,0.1192,1.0,1.0,1.0,8,,,,
13981443,Cremonese,Home,42,3.32,6.0,11,4,5,12,359,19,16,2.0,6,0,2,3,8,3,3.0,3.0,17,4.0,0.0,271,30,39,55,21,2,57,8,40,15,6,12,5,36,17,,-0.0354,2.0,,,6,0.0,,,
13981443,Sassuolo,Away,58,1.32,2.0,9,3,4,17,507,11,11,2.0,6,1,2,1,6,3,2.0,0.0,22,2.0,2.0,428,14,57,78,28,4,43,9,27,15,5,8,3,46,27,,0.1979,0.0,,,3,1.0,,,
13981435,Juventus,Home,41,0.68,1.0,12,1,5,14,357,17,10,2.0,4,0,3,5,5,7,1.0,,15,1.0,1.0,296,14,38,56,14,3,48,5,31,9,4,10,6,33,38,1.0,-1.8151,,1.0,,8,,1.0,,
13981435,Inter,Away,59,0.96,1.0,18,0,9,10,503,9,14,2.0,4,0,8,6,8,10,1.0,,33,1.0,1.0,452,21,56,158,20,10,52,10,25,19,2,4,6,32,19,0.0,-2.7749,,0.0,,3,,0.0,,
13981442,Fiorentina,Home,53,1.65,2.0,19,5,8,14,456,13,14,,3,0,8,8,14,5,0.0,2.0,32,1.0,,373,14,45,69,18,7,50,8,35,17,9,7,6,49,15,0.0,0.5306,1.0,1.0,,6,,1.0,,
13981442,Napoli,Away,47,3.29,6.0,14,2,5,14,419,14,13,,9,1,2,3,11,3,3.0,3.0,27,4.0,,346,11,52,72,16,1,50,7,34,19,8,11,6,45,32,1.0,-0.5686,0.0,3.0,,11,,2.0,,
13981445,Pisa,Home,51,0.53,2.0,12,2,8,13,382,14,15,1.0,2,0,6,4,9,3,0.0,2.0,22,0.0,1.0,318,16,57,81,21,5,57,5,37,20,8,9,4,47,23,2.0,-0.1342,,,1.0,4,,,,
13981445,Udinese,Away,49,1.0,4.0,13,2,6,15,375,13,13,2.0,3,0,4,6,7,6,1.0,3.0,23,1.0,1.0,301,20,50,62,21,1,43,7,29,14,5,7,5,39,34,2.0,0.0631,,,1.0,13,,,,
13981434,Roma,Home,73,1.14,0.0,22,3,7,11,590,12,17,2.0,5,0,10,7,12,10,,0.0,30,7.0,1.0,530,19,72,163,25,7,47,10,33,18,5,6,7,44,11,,1.14,2.0,,,3,,,,
13981434,Torino,Away,27,0.65,1.0,8,5,4,17,223,23,11,3.0,4,0,3,1,4,4,,1.0,9,1.0,4.0,155,14,50,42,16,3,53,4,39,19,5,15,5,42,42,,0.7966,1.0,,,11,,,,
13981451,Hellas Verona,Home,46,1.46,3.0,20,3,10,18,412,11,3,2.0,9,0,6,5,12,8,,3.0,27,1.0,4.0,332,15,69,83,20,4,45,1,23,17,9,7,9,55,21,0.0,0.3311,2.0,0.0,,5,,3.0,,
13981451,Cremonese,Away,54,0.24,0.0,6,9,1,3,492,8,18,1.0,2,0,2,2,2,4,,0.0,5,0.0,1.0,401,19,51,39,21,3,55,6,30,18,6,3,4,48,33,2.0,1.3657,3.0,1.0,,7,,0.0,,
13981430,Como,Home,53,1.83,2.0,13,4,0,13,452,15,17,2.0,4,0,3,6,7,6,0.0,2.0,16,,,379,32,36,58,25,0,44,12,39,16,8,6,6,49,24,,0.3161,,2.0,,2,,0.0,1.0,
13981430,Genoa,Away,47,2.34,5.0,12,3,8,17,396,30,13,2.0,6,1,0,6,9,3,1.0,4.0,23,,,323,22,44,59,24,2,56,10,58,11,16,20,10,47,17,,0.0277,,0.0,,5,,1.0,0.0,
13981437,Milan,Home,39,1.0,3.0,14,0,7,17,336,14,16,3.0,3,4,7,4,10,4,,3.0,23,4.0,2.0,286,18,38,62,17,3,51,2,37,11,9,11,5,40,24,1.0,0.0,,2.0,0.0,3,,2.0,,
13981437,Bologna,Away,61,0.17,0.0,5,2,4,16,521,13,17,2.0,0,1,2,3,3,2,,0.0,9,2.0,1.0,453,12,45,78,31,5,49,10,35,12,6,7,5,40,19,3.0,0.11,,2.0,3.0,6,,0.0,,
13981449,Sassuolo,Home,41,1.16,1.0,10,3,3,15,415,20,11,6.0,3,0,5,2,8,2,1.0,0.0,22,0.0,0.0,350,18,41,52,25,4,54,8,35,14,5,12,12,41,31,0.0,1.0497,1.0,1.0,2.0,6,,0.0,,
13981449,Lazio,Away,59,0.76,1.0,13,2,7,11,590,12,15,3.0,3,0,6,4,11,2,0.0,1.0,21,2.0,1.0,514,18,76,127,15,5,46,10,32,10,6,7,9,44,15,1.0,0.7225,0.0,0.0,0.0,3,,1.0,,
13981450,Atalanta,Home,57,2.12,4.0,19,2,8,12,456,14,7,,8,1,8,3,13,6,2.0,2.0,34,1.0,3.0,390,14,51,95,14,3,52,6,33,14,12,11,6,54,20,1.0,-0.3499,,,0.0,5,0.0,,,
13981450,Lecce,Away,43,0.46,1.0,12,4,2,7,357,13,12,,3,0,4,5,4,8,0.0,1.0,18,2.0,1.0,284,18,65,94,20,4,48,7,33,11,8,6,9,34,30,1.0,-1.869,,,1.0,12,1.0,,,
13981427,Cagliari,Home,51,1.13,4.0,12,6,4,15,396,14,18,3.0,5,1,3,4,8,4,2.0,2.0,16,1.0,3.0,319,21,36,42,23,2,48,12,38,15,7,8,10,38,32,2.0,1.0298,3.0,4.0,1.0,10,,,,
13981427,Parma,Away,49,1.96,4.0,17,3,5,18,375,20,15,1.0,5,1,5,7,11,6,0.0,4.0,26,4.0,0.0,303,19,53,71,18,7,52,10,42,16,7,13,5,47,14,0.0,-0.4124,0.0,0.0,0.0,4,,,,
13981455,Lecce,Home,52,0.99,2.0,11,4,4,10,378,17,19,2.0,5,0,6,0,8,3,1.0,1.0,18,2.0,0.0,319,23,48,72,26,7,55,8,42,18,5,8,3,34,23,1.0,0.6651,1.0,0.0,0.0,5,,0.0,,
13981455,Cagliari,Away,48,2.24,3.0,15,4,7,19,351,20,9,3.0,6,2,6,3,13,2,2.0,1.0,29,1.0,2.0,284,15,38,55,15,5,45,12,37,12,7,8,10,40,17,1.0,0.0376,3.0,2.0,2.0,10,,1.0,,
13981452,Hellas Verona,Home,28,1.53,2.0,14,3,5,18,216,23,9,3.0,4,0,8,2,7,7,1.0,1.0,14,2.0,1.0,146,21,39,43,16,3,43,14,33,10,1,14,15,45,21,0.0,-0.1478,0.0,0.0,,7,,,,
13981452,Juventus,Away,72,0.47,1.0,10,3,3,10,570,16,18,3.0,4,0,4,2,6,4,0.0,1.0,21,5.0,1.0,495,22,72,131,30,4,57,10,42,16,8,9,6,43,24,1.0,0.7243,1.0,1.0,,7,,,,
13981461,Fiorentina,Home,39,0.49,0.0,8,5,2,16,313,22,19,4.0,1,0,4,3,4,4,0.0,0.0,14,2.0,2.0,241,10,42,43,22,3,51,8,48,12,7,11,11,48,17,,-0.8638,1.0,0.0,,11,,0.0,,
13981461,Como,Away,61,1.25,4.0,19,0,6,19,502,18,16,3.0,7,0,9,3,10,9,2.0,2.0,24,4.0,2.0,426,17,46,94,24,5,49,12,41,17,7,11,5,52,33,,-0.5555,0.0,1.0,,10,,1.0,,
13981456,Inter,Home,61,1.89,5.0,20,4,7,15,489,18,8,2.0,6,0,8,6,16,4,1.0,4.0,45,2.0,2.0,433,15,51,139,24,10,49,11,33,17,7,14,2,46,23,,0.4212,1.0,0.0,0.0,3,,0.0,,
13981456,Sassuolo,Away,39,0.89,2.0,9,5,3,8,316,19,15,1.0,5,0,1,3,5,4,1.0,1.0,10,1.0,3.0,257,12,35,37,28,1,51,13,36,17,5,6,5,41,32,,-0.6176,2.0,3.0,1.0,9,,1.0,,
13981458,Napoli,Home,64,1.08,0.0,18,4,5,10,594,16,18,1.0,6,0,4,8,12,6,0.0,0.0,29,0.0,1.0,533,17,50,112,15,2,52,12,39,7,6,12,8,52,14,1.0,1.1818,,0.0,,5,1.0,1.0,,
13981458,Pisa,Away,36,2.61,4.0,15,3,3,18,331,19,9,2.0,6,0,3,6,11,4,2.0,2.0,17,2.0,0.0,267,11,44,59,20,3,48,7,32,10,6,16,8,54,20,3.0,-0.8355,,3.0,,4,0.0,0.0,,
13981454,Torino,Home,39,1.2,2.0,11,2,1,11,386,14,8,,5,0,3,3,5,6,0.0,2.0,19,1.0,1.0,324,16,58,62,24,2,44,9,28,10,5,9,12,47,19,,-0.3419,0.0,0.0,1.0,3,,0.0,,0.0
13981454,Atalanta,Away,61,1.64,2.0,9,5,0,9,617,16,11,,5,1,3,1,8,1,2.0,0.0,20,2.0,0.0,541,13,50,102,34,3,56,4,32,16,5,11,3,42,20,,1.2777,1.0,1.0,1.0,10,,1.0,,1.0
13981457,Lazio,Home,49,1.04,1.0,10,5,3,14,390,14,22,1.0,2,1,8,0,6,4,,1.0,14,2.0,0.0,315,14,44,53,19,3,57,10,41,15,7,9,8,50,16,0.0,0.5299,2.0,2.0,3.0,5,1.0,1.0,2.0,
13981457,Roma,Away,51,1.16,1.0,13,2,6,22,408,17,14,1.0,6,0,6,1,12,1,,1.0,23,2.0,4.0,336,20,43,104,24,4,43,10,34,9,3,9,11,49,20,1.0,0.1835,0.0,1.0,0.0,10,0.0,0.0,0.0,
13981463,Cremonese,Home,52,0.12,,3,3,3,16,416,10,8,1.0,1,0,1,1,2,1,,,12,1.0,6.0,343,18,49,56,24,3,46,11,20,18,3,4,3,38,41,,0.1654,1.0,3.0,1.0,10,,,,
13981463,Parma,Away,48,0.84,,15,1,3,8,377,16,16,0.0,3,1,6,6,10,5,,,14,3.0,0.0,307,20,60,63,20,5,54,6,33,11,1,11,7,38,20,,0.4919,0.0,0.0,0.0,3,,,,
13981453,Udinese,Home,40,0.34,0.0,10,4,1,9,393,13,7,2.0,4,0,3,3,2,8,0.0,0.0,20,1.0,3.0,351,14,40,99,7,7,47,9,24,11,5,13,11,35,21,,-1.3947,2.0,1.0,0.0,7,1.0,0.0,,
13981453,Milan,Away,60,1.44,2.0,13,4,4,7,607,17,9,0.0,6,0,6,1,11,2,1.0,1.0,29,2.0,2.0,550,18,55,91,33,2,53,8,35,5,9,10,4,43,17,,0.201,0.0,1.0,1.0,5,0.0,2.0,,
13981460,Bologna,Home,59,1.59,2.0,14,3,8,12,406,13,14,1.0,6,1,5,3,12,2,1.0,1.0,25,3.0,4.0,320,26,84,86,36,5,52,10,34,24,7,9,9,38,22,,-0.0388,0.0,,1.0,2,,0.0,,
13981460,Genoa,Away,41,0.53,2.0,7,4,2,15,290,20,12,5.0,4,0,2,1,5,2,1.0,1.0,11,1.0,1.0,196,28,44,38,33,2,48,6,33,21,2,13,8,35,25,,0.5684,1.0,,1.0,6,,1.0,,
13981472,Milan,Home,37,0.75,1.0,6,6,1,7,359,11,7,1.0,3,0,2,1,5,1,1.0,0.0,12,1.0,1.0,298,9,28,31,20,0,46,3,19,10,3,6,10,39,24,1.0,1.8906,2.0,1.0,1.0,11,,1.0,1.0,
13981472,Napoli,Away,63,2.96,2.0,19,1,7,7,604,12,6,0.0,7,1,6,6,12,7,1.0,1.0,21,3.0,0.0,551,13,82,169,17,8,54,6,23,11,4,6,3,42,7,0.0,-1.3158,0.0,0.0,0.0,5,,2.0,0.0,
13981464,Genoa,Home,65,1.63,3.0,17,2,6,18,503,12,16,5.0,5,0,8,4,10,7,0.0,3.0,24,3.0,1.0,431,27,68,89,22,7,48,11,34,21,9,7,5,34,10,1.0,-1.7465,0.0,0.0,,3,1.0,2.0,,
13981464,Lazio,Away,35,1.07,6.0,9,5,0,16,280,16,18,1.0,6,1,3,0,8,1,3.0,3.0,16,1.0,2.0,194,13,32,27,17,2,52,6,33,26,1,5,5,37,36,1.0,1.3011,2.0,2.0,,9,0.0,1.0,,
13981462,Como,Home,58,1.3,3.0,14,1,4,16,451,15,17,3.0,6,0,5,3,7,7,1.0,2.0,14,3.0,0.0,377,23,52,52,25,3,49,9,32,15,2,11,4,39,21,1.0,-0.1788,0.0,1.0,1.0,8,,,1.0,
13981462,Cremonese,Away,42,0.45,1.0,9,5,3,17,316,17,16,4.0,2,0,7,0,6,3,1.0,0.0,13,2.0,4.0,241,22,38,38,19,5,51,8,35,13,7,10,8,43,13,1.0,0.314,1.0,1.0,0.0,14,,,0.0,
13981476,Sassuolo,Home,44,1.24,4.0,11,4,1,5,321,13,22,0.0,5,0,3,3,8,3,2.0,2.0,18,1.0,5.0,252,16,60,68,16,2,56,5,38,14,6,6,6,46,24,,0.4022,1.0,2.0,0.0,8,,1.0,,
13981476,Udinese,Away,56,1.32,2.0,12,2,5,22,404,12,5,3.0,5,0,6,1,6,6,1.0,1.0,19,1.0,1.0,342,16,46,80,21,4,44,7,23,18,6,3,8,34,21,,-1.0026,0.0,0.0,1.0,7,,0.0,,
